id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,126,28,9,STARLINK-31990,None,100.0,930.00000001,1030.00000001,910.0,930.00000001
2,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,126,28,9,STARLINK-31990,None,100.0,1030.00000001,1130.00000001,1000.0,1020.00000001
1,COMP_M,VehicleProcessing,FogModule,EdgeToFog,28,3,STARLINK-31990,5,SensorModule,10.0,1050.0000000199998,1060.0000000199998,1030.00000001,1050.0000000199998
1,COMP_M,VehicleProcessing,CloudModule,FogToCloud,3,9,5,8,FogModule,0.1,1070.0000000204998,1070.1000000204997,1060.0000000199998,1070.0000000204998
1,COMP_M,VehicleProcessing,FogModuleV,CloudToFog,9,6,8,5,CloudModule,1.0,1080.1000000209997,1081.1000000209997,1070.1000000204997,1080.1000000209997
1,COMP_M,VehicleProcessing,SensorModuleV,FogToEdge,6,13,5,STARLINK-2568,FogModuleV,10.0,1101.1000000219997,1111.1000000219997,1081.1000000209997,1101.1000000219997
3,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,126,28,9,STARLINK-31990,None,100.0,1130.00000001,1230.00000001,1090.0,1110.00000001
2,COMP_M,VehicleProcessing,FogModule,EdgeToFog,28,4,STARLINK-31990,6,SensorModule,10.0,1150.0000000199998,1160.0000000199998,1130.00000001,1150.0000000199998
2,COMP_M,VehicleProcessing,CloudModule,FogToCloud,4,9,6,8,FogModule,0.1,1170.0000000204998,1170.1000000204997,1160.0000000199998,1170.0000000204998
1,COMP_M,VehicleProcessing,S,EdgeToSensor,13,10,STARLINK-2568,9,SensorModuleV,10.0,1171.1000000249996,1181.1000000249996,1111.1000000219997,1171.1000000249996
2,COMP_M,VehicleProcessing,FogModuleV,CloudToFog,9,7,8,6,CloudModule,1.0,1180.1000000209997,1181.1000000209997,1170.1000000204997,1180.1000000209997
2,COMP_M,VehicleProcessing,SensorModuleV,FogToEdge,7,15,6,STARLINK-1558,FogModuleV,10.0,1201.1000000219997,1211.1000000219997,1181.1000000209997,1201.1000000219997
4,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,126,28,9,STARLINK-31990,None,100.0,1230.00000001,1330.00000001,1180.0,1200.00000001
3,COMP_M,VehicleProcessing,FogModule,EdgeToFog,28,5,STARLINK-31990,7,SensorModule,10.0,1250.0000000199998,1260.0000000199998,1230.00000001,1250.0000000199998
3,COMP_M,VehicleProcessing,CloudModule,FogToCloud,5,9,7,8,FogModule,0.1,1270.0000000204998,1270.1000000204997,1260.0000000199998,1270.0000000204998
2,COMP_M,VehicleProcessing,S,EdgeToSensor,15,10,STARLINK-1558,9,SensorModuleV,10.0,1271.1000000249996,1281.1000000249996,1211.1000000219997,1271.1000000249996
3,COMP_M,VehicleProcessing,FogModuleV,CloudToFog,9,8,8,7,CloudModule,1.0,1280.1000000209997,1281.1000000209997,1270.1000000204997,1280.1000000209997
3,COMP_M,VehicleProcessing,SensorModuleV,FogToEdge,8,17,7,STARLINK-6180,FogModuleV,10.0,1301.1000000219997,1311.1000000219997,1281.1000000209997,1301.1000000219997
5,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,126,28,9,STARLINK-31990,None,100.0,1330.00000001,1430.00000001,1270.0,1290.00000001
4,COMP_M,VehicleProcessing,FogModule,EdgeToFog,28,3,STARLINK-31990,5,SensorModule,10.0,1350.0000000199998,1360.0000000199998,1330.00000001,1350.0000000199998
4,COMP_M,VehicleProcessing,CloudModule,FogToCloud,3,9,5,8,FogModule,0.1,1370.0000000204998,1370.1000000204997,1360.0000000199998,1370.0000000204998
3,COMP_M,VehicleProcessing,S,EdgeToSensor,17,10,STARLINK-6180,9,SensorModuleV,10.0,1371.1000000249996,1381.1000000249996,1311.1000000219997,1371.1000000249996
4,COMP_M,VehicleProcessing,FogModuleV,CloudToFog,9,6,8,5,CloudModule,1.0,1380.1000000209997,1381.1000000209997,1370.1000000204997,1380.1000000209997
4,COMP_M,VehicleProcessing,SensorModuleV,FogToEdge,6,19,5,STARLINK-4414,FogModuleV,10.0,1401.1000000219997,1411.1000000219997,1381.1000000209997,1401.1000000219997
6,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,126,28,9,STARLINK-31990,None,100.0,1430.00000001,1530.00000001,1360.0,1380.00000001
5,COMP_M,VehicleProcessing,FogModule,EdgeToFog,28,3,STARLINK-31990,5,SensorModule,10.0,1450.0000000199998,1460.0000000199998,1430.00000001,1450.0000000199998
5,COMP_M,VehicleProcessing,CloudModule,FogToCloud,3,9,5,8,FogModule,0.1,1470.0000000204998,1470.1000000204997,1460.0000000199998,1470.0000000204998
4,COMP_M,VehicleProcessing,S,EdgeToSensor,19,10,STARLINK-4414,9,SensorModuleV,10.0,1471.1000000249996,1481.1000000249996,1411.1000000219997,1471.1000000249996
5,COMP_M,VehicleProcessing,FogModuleV,CloudToFog,9,6,8,5,CloudModule,1.0,1480.1000000209997,1481.1000000209997,1470.1000000204997,1480.1000000209997
5,COMP_M,VehicleProcessing,SensorModuleV,FogToEdge,6,21,5,STARLINK-30471,FogModuleV,10.0,1501.1000000219997,1511.1000000219997,1481.1000000209997,1501.1000000219997
7,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,126,28,9,STARLINK-31990,None,100.0,1530.00000001,1630.00000001,1450.0,1470.00000001
6,COMP_M,VehicleProcessing,FogModule,EdgeToFog,28,3,STARLINK-31990,5,SensorModule,10.0,1550.0000000199998,1560.0000000199998,1530.00000001,1550.0000000199998
6,COMP_M,VehicleProcessing,CloudModule,FogToCloud,3,9,5,8,FogModule,0.1,1570.0000000204998,1570.1000000204997,1560.0000000199998,1570.0000000204998
5,COMP_M,VehicleProcessing,S,EdgeToSensor,21,10,STARLINK-30471,9,SensorModuleV,10.0,1571.1000000249996,1581.1000000249996,1511.1000000219997,1571.1000000249996
6,COMP_M,VehicleProcessing,FogModuleV,CloudToFog,9,6,8,5,CloudModule,1.0,1580.1000000209997,1581.1000000209997,1570.1000000204997,1580.1000000209997
6,COMP_M,VehicleProcessing,SensorModuleV,FogToEdge,6,23,5,STARLINK-3196,FogModuleV,10.0,1601.1000000219997,1611.1000000219997,1581.1000000209997,1601.1000000219997
8,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,126,28,9,STARLINK-31990,None,100.0,1630.00000001,1730.00000001,1540.0,1560.00000001
7,COMP_M,VehicleProcessing,FogModule,EdgeToFog,28,3,STARLINK-31990,5,SensorModule,10.0,1650.0000000199998,1660.0000000199998,1630.00000001,1650.0000000199998
7,COMP_M,VehicleProcessing,CloudModule,FogToCloud,3,9,5,8,FogModule,0.1,1670.0000000204998,1670.1000000204997,1660.0000000199998,1670.0000000204998
6,COMP_M,VehicleProcessing,S,EdgeToSensor,23,10,STARLINK-3196,9,SensorModuleV,10.0,1671.1000000249996,1681.1000000249996,1611.1000000219997,1671.1000000249996
7,COMP_M,VehicleProcessing,FogModuleV,CloudToFog,9,6,8,5,CloudModule,1.0,1680.1000000209997,1681.1000000209997,1670.1000000204997,1680.1000000209997
7,COMP_M,VehicleProcessing,SensorModuleV,FogToEdge,6,25,5,STARLINK-11152 [DTC],FogModuleV,10.0,1701.1000000219997,1711.1000000219997,1681.1000000209997,1701.1000000219997
9,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,126,28,9,STARLINK-31990,None,100.0,1730.00000001,1830.00000001,1630.0,1650.00000001
8,COMP_M,VehicleProcessing,FogModule,EdgeToFog,28,3,STARLINK-31990,5,SensorModule,10.0,1750.0000000199998,1760.0000000199998,1730.00000001,1750.0000000199998
8,COMP_M,VehicleProcessing,CloudModule,FogToCloud,3,9,5,8,FogModule,0.1,1770.0000000204998,1770.1000000204997,1760.0000000199998,1770.0000000204998
7,COMP_M,VehicleProcessing,S,EdgeToSensor,25,10,STARLINK-11152 [DTC],9,SensorModuleV,10.0,1771.1000000249996,1781.1000000249996,1711.1000000219997,1771.1000000249996
8,COMP_M,VehicleProcessing,FogModuleV,CloudToFog,9,6,8,5,CloudModule,1.0,1780.1000000209997,1781.1000000209997,1770.1000000204997,1780.1000000209997
8,COMP_M,VehicleProcessing,SensorModuleV,FogToEdge,6,27,5,STARLINK-31508,FogModuleV,10.0,1801.1000000219997,1811.1000000219997,1781.1000000209997,1801.1000000219997
