id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,9,STARLINK-30311,VehicleProcessing,20.00000001,SensorToEdge,910,1000,0
2,LINK,9,STARLINK-30311,VehicleProcessing,20.00000001,SensorToEdge,1000,1000,0
1,LINK,STARLINK-30311,5,VehicleProcessing,20.00000001,EdgeToFog,1030.00000001,1000,0
1,LINK,5,8,VehicleProcessing,10.0000000005,FogToCloud,1060.0000000199998,100,0
1,LINK,8,5,VehicleProcessing,10.0000000005,CloudToFog,1070.1000000204997,100,0
1,LINK,5,STARLINK-5629,VehicleProcessing,20.000000001,FogToEdge,1081.1000000209997,100,0
3,LINK,9,STARLINK-30311,VehicleProcessing,20.00000001,SensorToEdge,1090,1000,1
1,LINK,STARLINK-5629,5,VehicleProcessing,20.000000001,EdgeToSensor,1111.1000000219997,100,0
2,LINK,STARLINK-30311,5,VehicleProcessing,20.00000001,EdgeToFog,1130.00000001,1000,1
1,LINK,5,STARLINK-30311,VehicleProcessing,20.000000001,EdgeToSensor,1131.1000000229997,100,1
1,LINK,STARLINK-30311,9,VehicleProcessing,20.000000001,EdgeToSensor,1151.1000000239997,100,0
2,LINK,6,8,VehicleProcessing,10.0000000005,FogToCloud,1160.0000000199998,100,1
2,LINK,8,5,VehicleProcessing,10.0000000005,CloudToFog,1170.1000000204997,100,1
4,LINK,9,STARLINK-30311,VehicleProcessing,20.00000001,SensorToEdge,1180,1000,1
2,LINK,6,STARLINK-5629,VehicleProcessing,20.000000001,FogToEdge,1181.1000000209997,100,1
2,LINK,STARLINK-30591,5,VehicleProcessing,20.000000001,EdgeToSensor,1211.1000000219997,100,0
3,LINK,STARLINK-30311,5,VehicleProcessing,20.00000001,EdgeToFog,1230.00000001,1000,1
2,LINK,5,STARLINK-30311,VehicleProcessing,20.000000001,EdgeToSensor,1231.1000000229997,100,1
2,LINK,STARLINK-30311,9,VehicleProcessing,20.000000001,EdgeToSensor,1251.1000000239997,100,0
3,LINK,7,8,VehicleProcessing,10.0000000005,FogToCloud,1260.0000000199998,100,1
5,LINK,9,STARLINK-30311,VehicleProcessing,20.00000001,SensorToEdge,1270,1000,2
3,LINK,8,5,VehicleProcessing,10.0000000005,CloudToFog,1270.1000000204997,100,2
3,LINK,7,STARLINK-5629,VehicleProcessing,20.000000001,FogToEdge,1281.1000000209997,100,1
