id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,9,STARLINK-30424,VehicleProcessing,20.00000001,SensorToEdge,910,1000,0
2,LINK,9,STARLINK-30424,VehicleProcessing,20.00000001,SensorToEdge,1000,1000,0
1,LINK,STARLINK-30424,5,VehicleProcessing,20.00000001,EdgeToFog,1030.00000001,1000,0
1,LINK,5,8,VehicleProcessing,10.0000000005,FogToCloud,1060.0000000199998,100,0
1,LINK,8,5,VehicleProcessing,10.0000000005,CloudToFog,1070.1000000204997,100,0
1,LINK,5,STARLINK-1567,VehicleProcessing,20.000000001,FogToEdge,1081.1000000209997,100,0
3,LINK,9,STARLINK-30424,VehicleProcessing,20.00000001,SensorToEdge,1090,1000,1
1,LINK,STARLINK-1567,5,VehicleProcessing,20.000000001,EdgeToSensor,1111.1000000219997,100,0
2,LINK,STARLINK-30424,5,VehicleProcessing,20.00000001,EdgeToFog,1130.00000001,1000,1
1,LINK,5,STARLINK-30424,VehicleProcessing,20.000000001,EdgeToSensor,1131.1000000229997,100,1
1,LINK,STARLINK-30424,9,VehicleProcessing,20.000000001,EdgeToSensor,1151.1000000239997,100,0
2,LINK,6,8,VehicleProcessing,10.0000000005,FogToCloud,1160.0000000199998,100,1
2,LINK,8,5,VehicleProcessing,10.0000000005,CloudToFog,1170.1000000204997,100,1
4,LINK,9,STARLINK-30424,VehicleProcessing,20.00000001,SensorToEdge,1180,1000,1
2,LINK,6,STARLINK-1567,VehicleProcessing,20.000000001,FogToEdge,1181.1000000209997,100,1
2,LINK,STARLINK-11230 [DTC],5,VehicleProcessing,20.000000001,EdgeToSensor,1211.1000000219997,100,0
3,LINK,STARLINK-30424,5,VehicleProcessing,20.00000001,EdgeToFog,1230.00000001,1000,1
2,LINK,5,STARLINK-30424,VehicleProcessing,20.000000001,EdgeToSensor,1231.1000000229997,100,1
2,LINK,STARLINK-30424,9,VehicleProcessing,20.000000001,EdgeToSensor,1251.1000000239997,100,0
3,LINK,7,8,VehicleProcessing,10.0000000005,FogToCloud,1260.0000000199998,100,1
5,LINK,9,STARLINK-30424,VehicleProcessing,20.00000001,SensorToEdge,1270,1000,2
3,LINK,8,5,VehicleProcessing,10.0000000005,CloudToFog,1270.1000000204997,100,2
3,LINK,7,STARLINK-1567,VehicleProcessing,20.000000001,FogToEdge,1281.1000000209997,100,1
3,LINK,STARLINK-30478,5,VehicleProcessing,20.000000001,EdgeToSensor,1311.1000000219997,100,0
4,LINK,STARLINK-30424,5,VehicleProcessing,20.00000001,EdgeToFog,1330.00000001,1000,1
3,LINK,5,STARLINK-30424,VehicleProcessing,20.000000001,EdgeToSensor,1331.1000000229997,100,1
3,LINK,STARLINK-30424,9,VehicleProcessing,20.000000001,EdgeToSensor,1351.1000000239997,100,0
6,LINK,9,STARLINK-30424,VehicleProcessing,20.00000001,SensorToEdge,1360,1000,1
4,LINK,5,8,VehicleProcessing,10.0000000005,FogToCloud,1360.0000000199998,100,2
4,LINK,8,5,VehicleProcessing,10.0000000005,CloudToFog,1370.1000000204997,100,2
4,LINK,5,STARLINK-1567,VehicleProcessing,20.000000001,FogToEdge,1381.1000000209997,100,0
4,LINK,STARLINK-30591,5,VehicleProcessing,20.000000001,EdgeToSensor,1411.1000000219997,100,0
5,LINK,STARLINK-30424,5,VehicleProcessing,20.00000001,EdgeToFog,1430.00000001,1000,1
4,LINK,5,STARLINK-30424,VehicleProcessing,20.000000001,EdgeToSensor,1431.1000000229997,100,1
7,LINK,9,STARLINK-30424,VehicleProcessing,20.00000001,SensorToEdge,1450,1000,2
4,LINK,STARLINK-30424,9,VehicleProcessing,20.000000001,EdgeToSensor,1451.1000000239997,100,1
5,LINK,5,8,VehicleProcessing,10.0000000005,FogToCloud,1460.0000000199998,100,2
5,LINK,8,5,VehicleProcessing,10.0000000005,CloudToFog,1470.1000000204997,100,1
5,LINK,5,STARLINK-1567,VehicleProcessing,20.000000001,FogToEdge,1481.1000000209997,100,0
5,LINK,STARLINK-31750,5,VehicleProcessing,20.000000001,EdgeToSensor,1511.1000000219997,100,0
6,LINK,STARLINK-30424,5,VehicleProcessing,20.00000001,EdgeToFog,1530.00000001,1000,1
5,LINK,5,STARLINK-30424,VehicleProcessing,20.000000001,EdgeToSensor,1531.1000000229997,100,1
8,LINK,9,STARLINK-30424,VehicleProcessing,20.00000001,SensorToEdge,1540,1000,2
5,LINK,STARLINK-30424,9,VehicleProcessing,20.000000001,EdgeToSensor,1551.1000000239997,100,1
6,LINK,5,8,VehicleProcessing,10.0000000005,FogToCloud,1560.0000000199998,100,1
6,LINK,8,5,VehicleProcessing,10.0000000005,CloudToFog,1570.1000000204997,100,1
6,LINK,5,STARLINK-1567,VehicleProcessing,20.000000001,FogToEdge,1581.1000000209997,100,0
6,LINK,STARLINK-4363,5,VehicleProcessing,20.000000001,EdgeToSensor,1611.1000000219997,100,0
9,LINK,9,STARLINK-30424,VehicleProcessing,20.00000001,SensorToEdge,1630,1000,1
7,LINK,STARLINK-30424,5,VehicleProcessing,20.00000001,EdgeToFog,1630.00000001,1000,2
6,LINK,5,STARLINK-30424,VehicleProcessing,20.000000001,EdgeToSensor,1631.1000000229997,100,2
6,LINK,STARLINK-30424,9,VehicleProcessing,20.000000001,EdgeToSensor,1651.1000000239997,100,0
7,LINK,5,8,VehicleProcessing,10.0000000005,FogToCloud,1660.0000000199998,100,1
7,LINK,8,5,VehicleProcessing,10.0000000005,CloudToFog,1670.1000000204997,100,1
7,LINK,5,STARLINK-1567,VehicleProcessing,20.000000001,FogToEdge,1681.1000000209997,100,0
7,LINK,STARLINK-4298,5,VehicleProcessing,20.000000001,EdgeToSensor,1711.1000000219997,100,0
10,LINK,9,STARLINK-30424,VehicleProcessing,20.00000001,SensorToEdge,1720,1000,1
8,LINK,STARLINK-30424,5,VehicleProcessing,20.00000001,EdgeToFog,1730.00000001,1000,2
7,LINK,5,STARLINK-30424,VehicleProcessing,20.000000001,EdgeToSensor,1731.1000000229997,100,2
7,LINK,STARLINK-30424,9,VehicleProcessing,20.000000001,EdgeToSensor,1751.1000000239997,100,0
8,LINK,5,8,VehicleProcessing,10.0000000005,FogToCloud,1760.0000000199998,100,1
8,LINK,8,5,VehicleProcessing,10.0000000005,CloudToFog,1770.1000000204997,100,1
8,LINK,5,STARLINK-1567,VehicleProcessing,20.000000001,FogToEdge,1781.1000000209997,100,0
11,LINK,9,STARLINK-30424,VehicleProcessing,20.00000001,SensorToEdge,1810,1000,0
8,LINK,STARLINK-11491 [DTC],5,VehicleProcessing,20.000000001,EdgeToSensor,1811.1000000219997,100,1
9,LINK,STARLINK-30424,5,VehicleProcessing,20.00000001,EdgeToFog,1830.00000001,1000,1
8,LINK,5,STARLINK-30424,VehicleProcessing,20.000000001,EdgeToSensor,1831.1000000229997,100,1
8,LINK,STARLINK-30424,9,VehicleProcessing,20.000000001,EdgeToSensor,1851.1000000239997,100,0
9,LINK,5,8,VehicleProcessing,10.0000000005,FogToCloud,1860.0000000199998,100,1
9,LINK,8,5,VehicleProcessing,10.0000000005,CloudToFog,1870.1000000204997,100,1
9,LINK,5,STARLINK-1567,VehicleProcessing,20.000000001,FogToEdge,1881.1000000209997,100,0
12,LINK,9,STARLINK-30424,VehicleProcessing,20.00000001,SensorToEdge,1900,1000,1
9,LINK,STARLINK-5515,5,VehicleProcessing,20.000000001,EdgeToSensor,1911.1000000219997,100,1
10,LINK,STARLINK-30424,5,VehicleProcessing,20.00000001,EdgeToFog,1930.00000001,1000,1
9,LINK,5,STARLINK-30424,VehicleProcessing,20.000000001,EdgeToSensor,1931.1000000229997,100,1
9,LINK,STARLINK-30424,9,VehicleProcessing,20.000000001,EdgeToSensor,1951.1000000239997,100,0
10,LINK,5,8,VehicleProcessing,10.0000000005,FogToCloud,1960.0000000199998,100,1
10,LINK,8,5,VehicleProcessing,10.0000000005,CloudToFog,1970.1000000204997,100,1
10,LINK,5,STARLINK-1567,VehicleProcessing,20.000000001,FogToEdge,1981.1000000209997,100,0
13,LINK,9,STARLINK-30424,VehicleProcessing,20.00000001,SensorToEdge,1990,1000,1
10,LINK,STARLINK-4467,5,VehicleProcessing,20.000000001,EdgeToSensor,2011.1000000219997,100,0
11,LINK,STARLINK-30424,5,VehicleProcessing,20.00000001,EdgeToFog,2030.00000001,1000,1
10,LINK,5,STARLINK-30424,VehicleProcessing,20.000000001,EdgeToSensor,2031.1000000229997,100,1
10,LINK,STARLINK-30424,9,VehicleProcessing,20.000000001,EdgeToSensor,2051.1000000239997,100,0
11,LINK,5,8,VehicleProcessing,10.0000000005,FogToCloud,2060.00000002,100,1
11,LINK,8,5,VehicleProcessing,10.0000000005,CloudToFog,2070.1000000205,100,1
14,LINK,9,STARLINK-30424,VehicleProcessing,20.00000001,SensorToEdge,2080,1000,1
11,LINK,5,STARLINK-1567,VehicleProcessing,20.000000001,FogToEdge,2081.100000021,100,1
11,LINK,STARLINK-2499,5,VehicleProcessing,20.000000001,EdgeToSensor,2111.100000022,100,0
12,LINK,STARLINK-30424,5,VehicleProcessing,20.00000001,EdgeToFog,2130.00000001,1000,1
11,LINK,5,STARLINK-30424,VehicleProcessing,20.000000001,EdgeToSensor,2131.100000023,100,1
11,LINK,STARLINK-30424,9,VehicleProcessing,20.000000001,EdgeToSensor,2151.100000024,100,0
12,LINK,5,8,VehicleProcessing,10.0000000005,FogToCloud,2160.00000002,100,1
15,LINK,9,STARLINK-30424,VehicleProcessing,20.00000001,SensorToEdge,2170,1000,2
12,LINK,8,5,VehicleProcessing,10.0000000005,CloudToFog,2170.1000000205,100,2
12,LINK,5,STARLINK-1567,VehicleProcessing,20.000000001,FogToEdge,2181.100000021,100,1
12,LINK,STARLINK-32005,5,VehicleProcessing,20.000000001,EdgeToSensor,2211.100000022,100,0
13,LINK,STARLINK-30424,5,VehicleProcessing,20.00000001,EdgeToFog,2230.00000001,1000,1
12,LINK,5,STARLINK-30424,VehicleProcessing,20.000000001,EdgeToSensor,2231.100000023,100,1
12,LINK,STARLINK-30424,9,VehicleProcessing,20.000000001,EdgeToSensor,2251.100000024,100,0
16,LINK,9,STARLINK-30424,VehicleProcessing,20.00000001,SensorToEdge,2260,1000,1
13,LINK,5,8,VehicleProcessing,10.0000000005,FogToCloud,2260.00000002,100,2
13,LINK,8,5,VehicleProcessing,10.0000000005,CloudToFog,2270.1000000205,100,2
13,LINK,5,STARLINK-1567,VehicleProcessing,20.000000001,FogToEdge,2281.100000021,100,0
13,LINK,STARLINK-1833,5,VehicleProcessing,20.000000001,EdgeToSensor,2311.100000022,100,0
14,LINK,STARLINK-30424,5,VehicleProcessing,20.00000001,EdgeToFog,2330.00000001,1000,1
13,LINK,5,STARLINK-30424,VehicleProcessing,20.000000001,EdgeToSensor,2331.100000023,100,1
17,LINK,9,STARLINK-30424,VehicleProcessing,20.00000001,SensorToEdge,2350,1000,2
13,LINK,STARLINK-30424,9,VehicleProcessing,20.000000001,EdgeToSensor,2351.100000024,100,1
14,LINK,5,8,VehicleProcessing,10.0000000005,FogToCloud,2360.00000002,100,2
14,LINK,8,5,VehicleProcessing,10.0000000005,CloudToFog,2370.1000000205,100,1
14,LINK,5,STARLINK-1567,VehicleProcessing,20.000000001,FogToEdge,2381.100000021,100,0
14,LINK,STARLINK-3931,5,VehicleProcessing,20.000000001,EdgeToSensor,2411.100000022,100,0
