id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,126,42,9,STARLINK-11501 [DTC],None,100.0,930.00000001,1030.00000001,910.0,930.00000001
2,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,126,42,9,STARLINK-11501 [DTC],None,100.0,1030.00000001,1130.00000001,1000.0,1020.00000001
1,COMP_M,VehicleProcessing,FogModule,EdgeToFog,42,3,STARLINK-11501 [DTC],5,SensorModule,10.0,1050.0000000199998,1060.0000000199998,1030.00000001,1050.0000000199998
1,COMP_M,VehicleProcessing,CloudModule,FogToCloud,3,9,5,8,FogModule,0.1,1070.0000000204998,1070.1000000204997,1060.0000000199998,1070.0000000204998
1,COMP_M,VehicleProcessing,FogModuleV,CloudToFog,9,6,8,5,CloudModule,1.0,1080.1000000209997,1081.1000000209997,1070.1000000204997,1080.1000000209997
1,COMP_M,VehicleProcessing,SensorModuleV,FogToEdge,6,13,5,STARLINK-5572,FogModuleV,10.0,1101.1000000219997,1111.1000000219997,1081.1000000209997,1101.1000000219997
3,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,126,42,9,STARLINK-11501 [DTC],None,100.0,1130.00000001,1230.00000001,1090.0,1110.00000001
2,COMP_M,VehicleProcessing,FogModule,EdgeToFog,42,4,STARLINK-11501 [DTC],6,SensorModule,10.0,1150.0000000199998,1160.0000000199998,1130.00000001,1150.0000000199998
2,COMP_M,VehicleProcessing,CloudModule,FogToCloud,4,9,6,8,FogModule,0.1,1170.0000000204998,1170.1000000204997,1160.0000000199998,1170.0000000204998
1,COMP_M,VehicleProcessing,S,EdgeToSensor,13,10,STARLINK-5572,9,SensorModuleV,10.0,1171.1000000249996,1181.1000000249996,1111.1000000219997,1171.1000000249996
2,COMP_M,VehicleProcessing,FogModuleV,CloudToFog,9,7,8,6,CloudModule,1.0,1180.1000000209997,1181.1000000209997,1170.1000000204997,1180.1000000209997
2,COMP_M,VehicleProcessing,SensorModuleV,FogToEdge,7,15,6,STARLINK-2594,FogModuleV,10.0,1201.1000000219997,1211.1000000219997,1181.1000000209997,1201.1000000219997
4,COMP_M,VehicleProcessing,SensorModule,SensorToEdge,126,42,9,STARLINK-11501 [DTC],None,100.0,1230.00000001,1330.00000001,1180.0,1200.00000001
